JobId,UserId,GroupId,Name,JobState,Partition,TimeLimit,StartTime,EndTime,NodeList,NodeCnt,ProcCnt,WorkDir,ReservationName,Tres,Account,QOS,WcKey,Cluster,SubmitTime,EligibleTime,DerivedExitCode,ExitCode
277,domrsfs(1036),domrsfs(1036),meu_job,COMPLETED,normal,2,2024-03-01T07:14:03,2024-03-01T07:16:03,compute02,1,1,/home/domrsfs/scratch,,"cpu=1,mem=14000M,node=1,billing=1",,,,unknown,2024-03-01T07:13:37,2024-03-01T07:13:37,0:0,0:0
281,luizfl(1023),luizfl(1023),errado,TIMEOUT,normal,1,2024-03-01T07:15:41,2024-03-01T07:17:01,compute03,1,4,/home/luizfl/scratch,,"cpu=4,mem=1G,node=1,billing=4",,,,unknown,2024-03-01T07:15:41,2024-03-01T07:15:41,0:0,0:0
283,caiobt1(1038),caiobt1(1038),teste,CANCELLED,express,5,Unknown,2024-03-01T07:17:26,(null),0,0,/home/caiobt1/scratch,,"cpu=1,mem=14000M,node=1,billing=1",,,,unknown,2024-03-01T07:17:03,2024-03-01T07:17:03,0:0,0:0
282,lincolnrpm(1035),lincolnrpm(1035),sleeps,TIMEOUT,normal,1,2024-03-01T07:16:45,2024-03-01T07:18:01,compute03,1,1,/home/lincolnrpm/scratch,,"cpu=1,mem=500M,node=1,billing=1",,,,unknown,2024-03-01T07:16:45,2024-03-01T07:16:45,0:0,0:0
286,lincolnrpm(1035),lincolnrpm(1035),sleeps,FAILED,normal,1,2024-03-01T07:17:57,2024-03-01T07:18:04,compute03,1,1,/home/lincolnrpm/scratch,,"cpu=1,mem=500M,node=1,billing=1",,,,unknown,2024-03-01T07:17:56,2024-03-01T07:17:56,0:0,0:9
285,domrsfs(1036),domrsfs(1036),meu_job,TIMEOUT,normal,1,2024-03-01T07:17:39,2024-03-01T07:19:01,compute00,1,1,/home/domrsfs/scratch,,"cpu=1,mem=14000M,node=1,billing=1",,,,unknown,2024-03-01T07:17:39,2024-03-01T07:17:39,0:0,0:0
287,domrsfs(1036),domrsfs(1036),meu_job,TIMEOUT,normal,1,2024-03-01T07:18:13,2024-03-01T07:19:31,compute01,1,1,/home/domrsfs/scratch,,"cpu=1,mem=14000M,node=1,billing=1",,,,unknown,2024-03-01T07:18:13,2024-03-01T07:18:13,0:0,0:0
288,lincolnrpm(1035),lincolnrpm(1035),sleeps,TIMEOUT,normal,1,2024-03-01T07:19:00,2024-03-01T07:20:01,compute02,1,1,/home/lincolnrpm/scratch,,"cpu=1,mem=500M,node=1,billing=1",,,,unknown,2024-03-01T07:18:59,2024-03-01T07:18:59,0:0,0:0
284,caiobt1(1038),caiobt1(1038),teste,CANCELLED,express,5,Unknown,2024-03-01T07:21:20,(null),0,0,/home/caiobt1/scratch,,"cpu=1,mem=14000M,node=1,billing=1",,,,unknown,2024-03-01T07:17:35,2024-03-01T07:17:35,0:0,0:0
289,domrsfs(1036),domrsfs(1036),meu_job,TIMEOUT,normal,1,2024-03-01T07:20:15,2024-03-01T07:21:31,compute00,1,1,/home/domrsfs/scratch,,"cpu=1,mem=14000M,node=1,billing=1",,,,unknown,2024-03-01T07:20:14,2024-03-01T07:20:14,0:0,0:0
